,,,,,,,,,文字数,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計,,,,,,,合計
,,,,,,,,,0,,,,,,,594,,,,,,,178,,,,,,,186,,,,,,,214,,,,,,,0,TRUE,,,,,,593,TRUE,,,,,,210,TRUE,,,,,,217,TRUE,,,,,,786,TRUE,,,,,,1368,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0,FALSE,,,,,,0
,既存サイトのページ追加,基本情報,,項目,TOP,,,,,アクセス,,,,,,,ブログ,,,,,,,コラム,,,,,,,お問い合わせ,,,,,,,求人一覧,,,,,,,コンセプト,,,,,,,よくある質問,,,,,,,代表あいさつ,,,,,,,サービス,,,,,,,施術の流れ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-,,,,,,,,,,アクセス (1店舗),,,,,,,ブログ,,,,,,,コラム,,,,,,,フォーム,,,,,,,リクルート,,項目数,2,,,,コンセプト,,項目数,,,,0,よくある質問,,項目数,,,,0,スタッフ (代表挨拶・代表のみ),,項目数,3,,,,サービス,,項目数,6,,,,フロー (施術の流れ),,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,0,,,項目数,-,,,0,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,0,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,,項目数,-,,,,,
,,,,,ライティングシート (TOP) にて記載,,,,,単店舗,-,種別,,①,追加,,,-,種別,,①,追加,,,-,種別,,①,有,,,-,種別,,①,追加,,#REF!,-,種別,,①,非表示,,No,1,種別,,1,追加,,No,2,種別,,0,追加,,No,3,種別,,0,追加,,No,4,種別,,1,追加,,No,5,種別,,1,追加,,No,6,種別,,0,,,No,7,種別,,0,,,No,8,種別,,0,,,No,9,種別,,0,,,No,10,種別,,0,,,No,11,種別,,0,,,No,12,種別,,0,,,No,13,種別,,0,,,No,14,種別,,0,,,No,15,種別,,0,,,No,16,種別,,0,,,No,17,種別,,0,,,No,18,種別,,0,,,No,19,種別,,0,,,No,20,種別,,0,,,No,21,種別,,0,,,No,22,種別,,0,,,No,23,種別,,0,,,No,24,種別,,0,,,No,25,種別,,0,,,No,26,種別,,0,,,No,27,種別,,0,,,No,28,種別,,0,,,No,29,種別,,0,,,No,30,種別,,0,,,No,31,種別,,0,,,No,32,種別,,0,,,No,33,種別,,0,,,No,34,種別,,0,,,No,35,種別,,0,,,No,36,種別,,0,,,No,37,種別,,0,,,No,38,種別,,0,,,No,39,種別,,0,,,No,40,種別,,0,,,No,41,種別,,0,,,No,42,種別,,0,,,No,43,種別,,0,,,No,44,種別,,0,,,No,45,種別,,0,,,No,46,種別,,0,,,No,47,種別,,0,,,No,48,種別,,0,,,No,49,種別,,0,,,No,50,種別,,0,,,No,51,種別,,0,,,No,52,種別,,0,,,No,53,種別,,0,,,No,54,種別,,0,,,No,55,種別,,0,,,No,56,種別,,0,,,No,57,種別,,0,,,No,58,種別,,0,,,No,59,種別,,0,,,No,60,種別,,0,,,No,61,種別,,0,,,No,62,種別,,0,,,No,63,種別,,0,,,No,64,種別,,0,,,No,65,種別,,0,,,No,66,種別,,0,,,No,67,種別,,0,,,No,68,種別,,0,,,No,69,種別,,0,,,No,70,種別,,0,,
,,,,,字数,,,-,,文字数,,,,項目,access,,文字数,,,,項目,blog,,文字数,,,,項目,column,,文字数,,,,項目,contact,,文字数,,,,項目,recruit,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,,文字数,,,,項目,-,
,フロー (流れ),制作種別,通常,h1見出し,30,～,35,,0,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | アクセス,22,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | ブログ,21,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | コラム,21,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | お問い合わせ,24,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | コンセプト,23,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | よくある質問,24,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | 代表あいさつ,24,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | サービス,22,h1見出し,30,～,35,,インプラントは岐阜の水の杜歯科 | 施術の流れ,23,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0,h1見出し,30,～,35,,,0
,コンセプト,制作タイプ,サテライト,h2中見出し-18,15,～,18,,0,h2中見出し-18,15,～,18,,駐車場完備の気軽に通える歯科医院,16,h2中見出し-18,15,～,18,,施術内容やお悩みに関する情報を発信,17,h2中見出し-18,15,～,18,,歯に関する理解を深める専門知識を発信,18,h2中見出し-18,15,～,18,,施術内容に関して気軽にご相談ください,18,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,専門的な知識と技術を活かした治療,16,h2中見出し-18,15,～,18,,よくいただくご質問をまとめました,16,h2中見出し-18,15,～,18,,地域の方々のかかりつけ歯科医院,15,h2中見出し-18,15,～,18,,口元のお悩みを改善に導く治療をご提案,18,h2中見出し-18,15,～,18,,一人ひとりに合わせた治療計画をご提案,18,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0
,サービス,商材タイプ,スタンダード,本文-180,170,～,180,,0,本文-180,170,～,180,,JR・樽見線・養老線の大垣駅より徒歩約3分、名阪近鉄バスの大垣駅前停留所からは徒歩約3分の公共交通機関でのアクセスが便利な場所にございます。車でお越しの方には、駐車場を3台分ご用意しております。また、近隣の有料駐車場をご利用いただいた際には、当院が料金を負担いたしますので、お気軽にご来院ください。衛生面にこだわった清潔感のある院内を整えてお待ちしております。,180,本文-150,140,～,150,,当院が対応しているインプラントの施術内容や取り扱っている設備に関する情報を定期的にご紹介しています。また、営業に関するお知らせや臨時休業などを掲載しておりますので、ご来院前にぜひご覧ください。検討されている方が安心してご来院いただけるよう、わかりやすい情報の発信に努めております。,140,本文-150,140,～,150,,歯の健康に関する専門的な知識や情報について、幅広い方に理解していただけるよう嚙み砕いて解説しています。健康的な口腔環境を目指すための日常生活でのケア方法や予防のポイントなどに関する情報を日々配信しております。歯科治療やインプラントへの理解を深め、健やかで美しい口腔環境づくりにお役立てください。,147,本文-180,170,～,180,,各種治療に関するご相談やインプラントについてのご質問を随時承っております。専門的な知識と豊富な経験があるスタッフが、治療内容についてわかりやすくご説明いたします。また、お支払い方法やご不明な点についても対応しておりますので、お気軽にご相談ください。初めてご来院される方にも丁寧にお答えし、納得したうえで治療を受けていただけるよう心がけています。,172,本文-180,170,～,180,,,0,本文-180,170,～,180,,培ってきた技術力と専門的な知識に基づいた治療を心がけています。豊富な経験を持つ歯科医師とスタッフが連携し、丁寧なカウンセリングを行ったうえで、患者様一人ひとりに合わせた治療方法をご提案いたします。落ち着いてお過ごしいただけるような環境を整えて、患者様の口腔内の健康をサポートしておりますので、インプラント治療をご検討中の方はぜひ一度ご相談ください。,174,本文-180,170,～,180,,患者様からよくいただくご質問や不安な点についての回答を掲載しております。初めての方でも安心してご来院いただけるよう、インプラントに関する気になる点についてわかりやすくお答えしておりますので、ご来院前にぜひご確認ください。掲載しているご質問以外にも対応していますので、ご不明な点がございましたらお気軽にお問い合わせフォームよりご連絡ください。,170,本文-180,170,～,180,,豊富な知識と経験がある院長が、患者様の負担や刺激に配慮した治療をご提案いたします。安心して通院いただける環境を整え、地域の方々が長期にわたってお口の健康管理を任せていただけるかかりつけ歯科医院を目指して活動しております。インプラント治療をはじめ、一般歯科や矯正歯科など様々な歯の治療に対応していますので、口元のお悩みがございましたらお気軽にご相談ください。,178,本文-180,170,～,180,,口元のお悩みの改善をサポートする治療をご提供しております。患者様のライフスタイルに合ったインプラント等をご提案し、丁寧なカウンセリングに加えて治療後のアフターケアも行っていますので、「インプラントが初めてで不安」という方もお気軽にご来院ください。患者様一人ひとりに合わせた治療計画のご案内を大切にしておりますので、一緒に口元のケアを始めませんか。,173,本文-180,170,～,180,,カウンセリングで歯並びや咬み合わせの状態、ご希望いただく仕上がりなどをお伺いし、患者様一人ひとりに合わせた治療計画をご提案します。治療は平均して約2か月に1度の通院ペースで進め、歯や歯ぐきへの負担を最小限に抑えながら理想の歯並びを目指します。無理なく続けていただける治療で患者様の美しく健康な口元をサポートいたしますので、ぜひお気軽にご来院ください。,175,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0
,商品説明ページ,制作モデル,単店舗,大見出し,,,,,0,h2中見出し-18,15,～,18,,通いやすい立地で地域密着型の営業,16,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,丁寧な施術,お悩みに合わせた丁寧な治療をご提供,17,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,インプラント,一人ひとりに合わせたインプラント,16,h2中見出し-18,15,～,18,カウンセリング,患者様に寄り添ったカウンセリング,16,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0,h2中見出し-18,15,～,18,,,0
,スケジュール,地域,岐阜,中見出し,,,,,0,本文-180,170,～,180,,公共交通機関からのアクセスが便利な立地で、幅広い方が通いやすい環境を整えております。お子様からご年配の方まで様々な世代の方々に安心してご利用いただけるよう、丁寧な診療とわかりやすい説明を心がけています。地域の方に信頼される歯科医院を目指して、地域密着型の診療体制で一人ひとりに寄り添った治療をご提供しておりますので、お気軽にご来院ください。,170,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,丁寧な施術,カウンセリングを通して患者様の口元の状態をよく確認し、一人ひとりの口腔機能のお悩みに合わせた治療計画を立て、美しく健康的な口元へと導きます。「歯の治療に苦手意識がある」という患者様の負担や不安にも配慮しながら、丁寧に施術を進めてまいります。地域の方に安心して通っていただける環境を整えておりますので、インプラント治療をご検討中の方はぜひご来院ください。,176,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,インプラント,一人ひとりのお口の状態やライフスタイルに合わせたインプラント治療を行っています。精密な診断と豊富な経験を活かして、自然な噛み心地と美しい見た目を重視した治療計画をご提案いたします。また、治療後も安心してお過ごしいただけるよう、定期的なメンテナンスやアフターケアなどに力を入れていますので、口元のケアに取り組みたい方はお気軽にご来院ください。,170,本文-180,170,～,180,カウンセリング,歯の見た目を整える治療をご検討中の患者様に対して、現在のお口の状態やお悩み、治療に対する不安やご希望を細かくお伺いします。また、治療の流れや期間、費用などもわかりやすくご説明することで、安心して通っていただける環境を整えていますので、初めての方もお気軽にご相談ください。患者様の不安を軽減することを心がけながら治療を進めることを大切にしています。,173,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0,本文-180,170,～,180,,,0
