No.,カテゴリ,区分,判定,対象ワード,説明,代替案,危険度,補足説明・例文
1,景表法,,NG,永久,基本的に未来のことは不確かです。「永久」を使う場合たとえ事実であっても誇大表現につながるのでご注意ください。,,100,
2,景表法,,NG,劇的に,誇大表現になり、優良誤認につながるため利用できません。,,100,
3,景表法,,RISK,100%,100%無添加、100%ピュアなど必要以上に強調するとNGです,,90,
4,景表法,,事実確認,1位,"何らかの順位を記載する場合は注釈が必要です。下記情報が付記されているか確認してください。・調査方法（第三者機関による客観的なもの） ・調査時期",,90,
5,景表法,,事実確認,新しい,製品発売後 12 ヵ月間を目安に使用可能。注意が必要な表現です。,※「新発売」の意の場合、製品発売後12か月間であれば可。,90,
6,景表法,,事実確認,当たり／当たる／あたり／あたる,"くじ引きなどで景品を提供する場合は懸賞に該当しますので、景表法が適用されます。景品価額の総額が、キャンペーン期間の売上予定総額の２％以内となっているか確認してください。また取引価額に応じて個々の景品の最高額も決まっておりますので、下記を参考にご確認をお願いします。▼取引価額が5,000円未満の場合 個々の景品の価額は取引価額の２０倍が上限。▼取引価額が5,000円以上の場合 個々の景品の価額は１０万円が上限。※取引価額＝「〇〇円以上購入した方へ」などの条件額のこと。",,90,
7,景表法,,RISK,圧倒的,優良誤認につながるため利用できません。,,90,
8,景表法,,事実確認,一番,「一番売れている」「一番安い」などの表現は根拠の提示が必要なので注意が必要です。,,90,
9,景表法,,事実確認,一番人気,誇大表現になる恐れがあるため注意してください。 「当店一番人気」など根拠があれば使用OKです。,,90,
10,景表法,,RISK,一流,優良誤認につながるため利用できません。,,90,
11,景表法,,RISK,一切,事実であれば問題ありませんが、優良誤認につながるため十分ご注意ください。,,90,
12,景表法,,RISK,一生,優良誤認につながるため利用できません。,,90,
13,景表法,,事実確認,言われる,「〜と言われる」「〜言われている」表現は根拠があれば利用可能ですが、根拠がない場合は優良誤認につながるため利用できません。,,90,
14,景表法,,事実確認,売上,調査や根拠が無いのに数値を入れるのはNGです。,,90,
15,景表法,,事実確認,冠,事実であれば表記OKですが、事実でないにもかかわらず「〇〇冠！」などと表記すると、有利誤認にあたる可能性がございます。ご注意ください。,,90,
16,景表法,,事実確認,完全,"「完全」・「絶対」等、全く欠くところがないことを意味する用語は、明確な根拠なく断定的に使用することはできません。事実確認をお願いいたします。",,90,"NG例：原材料は国産ではないが、製造は国内で行なっているので「完全国産」と表示する　等。"
17,景表法,,事実確認,完売,事実であれば表記OKですが、事実でないにもかかわらず「完売」と表記すると、消費者に購入をあおるようなおとり広告になる可能性もございます。ご注意ください。,"100個完売※事実に基づいた情報であれば使用可です。",90,
18,景表法,,事実確認,期間限定,事実であれば記載OKです。 実際はほとんどの期間でキャンペーンなどを実施している場合は注意が必要です。,,90,
19,景表法,,事実確認,キャンペーン,"無料プレゼントをもらえる条件がある場合は、その内容が分かりやすく明記されているか確認して下さい。 また総付景品については、提供できる景品類の最高額が定められています。下記を参考に、景品価額が法令を遵守しているか確認をお願いいたします。▼取引価額が1,000円未満の場合 200円が上限。▼取引価額が1,000円以上の場合 取引価額の20%が上限",,90,
20,景表法,,事実確認,究極,最大級表現を用いて訴求をする場合、客観的な事実と注釈が必要になります。下記注釈が記載されているかチェック箇所を確認してください。・調査方法（第三者機関による客観的なもの）・調査時期,,90,
21,景表法,,事実確認,くじ,"くじ引きなどで景品を提供する場合は懸賞に該当しますので、景表法が適用されます。 景品価額の総額が、キャンペーン期間の売上予定総額の２％以内となっているか確認してください。また取引価額に応じて個々の景品の最高額も決まっておりますので、下記を参考にご確認をお願いします。▼取引価額が5,000円未満の場合 個々の景品の価額は取引価額の２０倍が上限。▼取引価額が5,000円以上の場合 個々の景品の価額は１０万円が上限。※取引価額＝「〇〇円以上購入した方へ」などの条件額のこと。",,90,
22,景表法,,RISK,芸能人／アイドル,芸能人などの権威性を用いた表現は優良誤認につながるため、たとえ事実であっても記載は避けることが望ましいです。,,90,
23,景表法,,RISK,激変,最上級・絶対的表現は根拠の提示が必要なので注意です。,,90,
24,景表法,,事実確認,高機能,根拠があれば表現できる場合がありますが、誇大表現になるためご注意ください。,,90,
25,景表法,,事実確認,高濃度,「高濃度」を記載する場合、比較対象も注意書きで記載することが望まれます。,,90,
26,景表法,,事実確認,高配合,"優良誤認に該当しやすい記載です。 何と比べて「高い」のかについて、記載が必要となります。",高配合※　※自社製品比,90,"NG例：一般的なものより高配合（他社誹謗になるため）"
27,景表法,,事実確認,好評,好評を使用する場合、具体的な根拠または裏付けるデータの記載があるか確認してください。,,90,
28,景表法,,事実確認,高品質,比較表現になりますので、何と比べて高品質であるかについて注釈が付記されているか確認してください。また根拠となる客観的なデータが提示できるかを確認してください。,高品質※　（※自社製品内比　※〇〇濃度に基づく）,90,
29,景表法,,事実確認,国産／県産／北海道産,"その商品の内容について実質的な変更をもたらす行為（実質的変更行為）が行われた国が日本であるか確認して下さい。実質的変更行為は品目により異なるため、消費者庁のページで確認して下さい。https://www.caa.go.jp/policies/policy/representation/fair_labeling/representation_regulation/case_005",,90,"NG例：中国でお茶を製造し、箱詰めは日本で行う（実質的変更は日本で行われていないため、中国製となります）"
30,景表法,,RISK,極上,優良誤認につながるため利用できません。,,90,
31,景表法,,RISK,克服,改善、治癒の表現にあたるので使用NG。,,90,
32,景表法,,事実確認,これまでにない,最上級・絶対的表現は根拠の提示が必要なので注意です。,"創業以来はじめての、自分史上初、当社従来品比※客観的根拠があれば「これまでにない」は使用可。",90,
33,景表法,,事実確認,最強,"最大級表現を用いて訴求をする場合、客観的な事実と注釈が必要になります。下記注釈が記載されているかチェック箇所を確認してください。・調査方法（第三者機関による客観的なもの）・調査時期 ・自社製品比（他社誹謗に該当するため）",,90,
34,景表法,,事実確認,最高／最高級,"「歴代最高の」といった訴求をする場合は注釈が必要です。下記注釈が記載されているか確認してください。・調査方法（第三者機関による客観的なもの） ・調査時期 ・自社製品比（他社誹謗に該当するため）",,90,
35,景表法,,事実確認,最初,最上級・絶対的表現は根拠の提示が必要なので注意です。,,90,
36,景表法,,RISK,最上,最大級表現になるため避けることが望ましいです。,,90,
37,景表法,,RISK,最小限,優良誤認につながる可能性があるため利用には十分ご注意ください。,,90,
38,景表法,,RISK,最新,最大級表現はご注意ください。ただし、事実であれば利用可能です。,,90,"NG例：最新の美容機器を導入　OK例：最新情報を随時更新"
39,景表法,,RISK,最先端,優良誤認につながるため利用できません。,,90,
40,景表法,,代替案アリ,最速,最上級・絶対的表現は根拠の提示が必要なので注意です。,速い,90,
41,景表法,,事実確認,最大／最大級,"最大級表現を用いて訴求をする場合、客観的な事実と注釈が必要になりますので、チェック箇所を確認してください。・調査方法・調査時期・自社製品比（他社誹謗に該当するため）",,90,"使用する際は誤認を与えないように具体的な内容の記載や根拠が必要。OK例：専門知識と経験を最大限に活かす、美容技術を用いて魅力を最大限に引き出す"
42,景表法,,RISK,最安／最安値,最大級表現になるため避けることが望ましいです。,,90,
43,景表法,,RISK,最良,最大級表現になるため避けることが望ましいです。,,90,
44,景表法,,事実確認,産地直送／直送,"事実確認が必要な表示となりますので、本当に「直送」なのか確認して下さい。",,90,"違反事例・「北海道から産地直送！」といった表示をしながら実は輸入品も含まれていた。・「今朝摘みたて産地直送！」と新鮮さをピールしながら、実際は今朝採れたものではない など"
45,景表法,,代替案アリ,至高,最上級・絶対的表現は根拠の提示が必要なので注意です。,ラグジュアリー,90,
46,景表法,,事実確認,持続,「○時間持続！」など具体的な表記がある場合は、事実であれば記載可能です。,,90,
47,景表法,,代替案アリ,自分史上最高,"自社製品の優位性を示すような文脈では使用できません。文脈の確認をお願いします。",自分史上最高を目指す人を応援,90,"NG例：「自分史上最高の気分」"
48,景表法,,RISK,従来の,"他社商品の誹謗に該当する文脈では使用できません。チェック箇所を確認して下さい。",,90,"NG例：従来の商品では不可能な"
49,景表法,,事実確認,受賞,「〇〇賞受賞」など、事実であれば表記可能です。,,90,
50,景表法,,事実確認,初回,初回限定でキャンペーンを行う場合、契約後に解約が可能となる期間が記載されているか確認してください。,,90,
51,景表法,,事実確認,初回限定,事実であれば記載できます。,,90,
52,景表法,,事実確認,新発売,製品発売後 12 ヵ月間を目安に使用可能。注意が必要な表現です。,※製品発売後12か月間であれば可。,90,
53,景表法,,事実確認,世界一,最大級表現になるため避けることが望ましいです。 また、表記する場合は根拠や証拠などが必要です。,,90,
54,景表法,,事実確認,世界初,誇大表現。事実でも表現することはできません。,,90,
55,景表法,,事実確認,施術時間,施術時間の説明がある場合、その内容が事実に基づくものであるか確認して下さい。,,90,
56,景表法,,RISK,絶対,「絶対痩せる！」など効果を保証する訴求はNGです。チェック箇所を確認してください。,,90,
57,景表法,,事実確認,セット,"セットで購入できる旨を記載する場合、条件に制限がかかっていないか確認してください。",,90,"NG例：「セットでお得」を記載しながら、実際は「特定のプランの購入者のみ」という条件がある等。"
58,景表法,,RISK,全員,"事実であれば使用できますが、根拠がない場合は注意が必要です。",,90,"NG例：「アイドル全員使用！」"
59,景表法,その他,事実確認,走行距離,"中古車等において、実際の走行距離数よりも記載された走行距離数が上回っている場合は注意が必要です。*違反事例あり",,90,
60,景表法,,RISK,確かな,優良誤認につながるため利用できません。,,90,
61,景表法,,事実確認,他社よりも,他社より優れていることを示す表現は裏付けなしでは使用できません。使用する場合は、客観的根拠があること、数値を引用していることを確認しましょう。,"当社従来品よりも※他社比較の場合、客観的根拠がない限り注意が必要。",90,
62,景表法,,事実確認,試し／お試し／トライアル,"期間限定でトライアルができる旨を記載する場合は、契約後に解約が可能となる期間が記載されているか確認してください。※トライアル（お試し）でも契約が必要な場合。無料のお試しなどはOK。",,90,"OK例：無料でお試しいただけます、ぜひお試しください"
63,景表法,,事実確認,短期間／短期間で,期間限定でトライアルができる旨を記載する場合は、契約後に解約が可能となる期間が記載されているか確認してください。,,90,
64,景表法,,事実確認,チャンピオン,最上級・絶対的表現は根拠の提示が必要なので注意です。,,90,
65,景表法,,RISK,超,誇大表現になるため利用できません。,,90,
66,景表法,,RISK,付いてくる／ついてくる／付いてきます／ついてきます,定期購入で「今購入すると〇〇がついてくる！」といった記載するとき、制限条件がある場合は注釈で記載されているか確認してください。,〇〇がついてくる※ ※初回のみ,90,
67,景表法,,事実確認,通常価格,"通常価格表示は有利誤認の恐れがあるので、表示した価格での販売実績があるか確認してください。 過去の販売実績については下記を満たしている必要があります。1. 二重価格表示の開始から遡って８週間のうち当該価格で販売していた期間が可搬を占める。2. 当該価格で販売している期間が２週間未満でない。3. 当該価格で販売された最後の日から２週間以上経過していない。",,90,
68,景表法,,RISK,特選,優良誤認につながる可能性があるため十分ご注意ください。,,90,
69,景表法,,事実確認,独占,最上級・絶対的表現は根拠の提示が必要なので注意です。,,90,
70,景表法,,事実確認,特別価格,"「特別価格1,000円」と表記しているが、実際は通常価格と変わらないなどは有利誤認にあたり、NGです。",,90,
71,景表法,,事実確認,どこよりも,他社より優れていることを示す表現は裏付けなしでは使用できません。使用する場合は、客観的根拠があること、数値を引用していることを確認しましょう。,"当社従来品よりも※他社比較の場合、客観的根拠がない限り注意が必要。",90,
72,薬機法,,事実確認,とされて,たとえば「ウイルスに効くとされている」のように記載する場合、事実確認が必要です。 客観的根拠がなく使用した場合は優良誤認に該当します。,,90,
73,景表法,,事実確認,トップ,最上級・絶対的表現は根拠の提示が必要なので注意です。,,90,
74,景表法,,RISK,なくなりました,"効果効能の保証にあたるので使用不可。",,90,"NG例：「しわがなくなる」"
75,景表法,,事実確認,ナンバーワン／No.1／no.1／NO.1／,ナンバーワン表記は注釈が必要です。下記情報が付記されているか確認してください。・調査方法（第三者機関による客観的なもの）・調査時期,,90,
76,景表法,,事実確認,日本一,最大級表現になるため避けることが望ましいです。 また、表記する場合は根拠や証拠などが必要です。,,90,
77,景表法,,事実確認,日本製,その商品の内容について実質的な変更をもたらす行為（実質的変更行為）が行われた国が日本であるか確認して下さい。実質的変更行為は品目により異なるため、消費者庁のページで確認して下さい。 https://www.caa.go.jp/policies/policy/representation/fair_labeling/representation_regulation/case_005,,90,"NG例：中国でお茶を製造し、箱詰めは日本で行う（実質的変更は日本で行われていないため、中国製となります）"
78,景表法,,事実確認,日本初,"最大級表現を用いて訴求をする場合、客観的な事実と注釈が必要になりますので、チェック箇所を確認してください。・調査方法（第三者機関によるもの）・調査時期",,90,
79,景表法,,事実確認,人以上,「愛用者10万人以上」など、人数を表記する場合は根拠やデータの提示が必要です。,,90,
80,景表法,,事実確認,根こそぎ,「完全」・「絶対」等、全く欠くところがないことを意味する用語は、明確な根拠なく断定的に使用することはできません。事実確認をお願いいたします。,,90,
81,景表法,,事実確認,パーフェクト／Perfect／perfect／PERFECT,「完全」・「絶対」等、全く欠くところがないことを意味する用語は、明確な根拠なく断定的に使用することはできません。事実確認をお願いいたします。,,90,
82,景表法,,事実確認,倍,"有利誤認に当たる可能性があるため、十分注意が必要です。使用する場合は、客観的根拠があることを確認しましょう。",,90,"NG例：「他社の2倍長持ちします」「3倍のスピードで治る！」。"
83,景表法,,事実確認,抜群,優位性を示す表現ですので、具体的な数値に基づく根拠や注釈による説明が必要になります。,抜群※　（※当社製品内比　※〇〇試験のデータに基づく）,90,"誇大表現の恐れのある表現は不可。NG例（具体的な質に関与する）：鮮度抜群の魚料理　OK例（具体的な質に関与しない）：お酒と相性抜群のメニュー※「アクセス抜群」は、具体的な数字や理由を併記することで使用可。OK例：駅から徒歩約1分でアクセス抜群、駅直結のためアクセス抜群"
84,景表法,,事実確認,ピーク,ある現象が最大限に達した状態を指すなど、最大級表現に該当する場合があるため注意が必要です。,,90,
85,景表法,,事実確認,費不要／費が不要,費用がかからない旨を記載する場合は、制限条件がないか確認してください。特定の条件下でのみ費用が発生しない場合は、注釈でその旨を記載してください。,,90,
86,景表法,,事実確認,プレゼント,無料プレゼントをもらえる条件がある場合は、その内容が分かりやすく明記されているか確認して下さい。,,90,
87,景表法,,事実確認,返金保証,返金保証に条件がある場合は、広告に返金の条件も明記しましょう。また、期間限定の返金保証ではないのに、「期間限定全額返金」などと記載するのはNG。,,90,
88,景表法,,RISK,放置／放置すると／放っておくと,"特商法・景表法では、恐怖や不安を煽ることで購買を促す行為は禁止されています。※過度に煽るような文章ではなく、事実の範囲内および一般的な注意喚起であれば可。",,90,"NG例：このまま放置すると、治らなくなってしまいます！　OK例：痛みを放置すると生活に支障を招く恐れあるため注意が必要です、違和感を放置していると痛みが強くなる可能性があります、汚れを放っておくと見た目や衛生面に問題が生じます"
89,景表法,,事実確認,他にはない／ほかにはない,最上級・絶対的表現は根拠の提示が必要なので注意です。,"我が社ではいまだかつてない※客観的根拠があれば「他にはない」は使用可。",90,
90,景表法,,RISK,満足度,"効果効能の保証や安全性が確実であるような誤解を与えるため基本的には使用不可です。「使用方法、使用感、香りの嗜好性について満足度○％」は可ですが、(i)客観的調査に基づき、(ii)調査の概要を明示し、(iii)調査の結果が適正に引用されている場合に限ります。調査結果に基づき満足度などを数値で表すことは効能効果又は安全性が確実であるかのような誤解を与えるおそれがあるので、使用できません。",,90,
91,景表法,,代替案アリ,最も,最上級・絶対的表現は根拠の提示が必要なので注意です。,シリーズ史上最高の,90,
92,景表法,,事実確認,リピート率,調査や根拠が無いのに数値を入れるのはNGです。,,90,
93,景表法,,事実確認,話題,誇大表現に捉えられる可能性があるため記載には注意ください。,,90,
94,景表法,,事実確認,割引,"割引が適用される条件がある場合は、注釈等でその旨が明記されているか確認してください。",,90,"NG例：「5割引セール」という表示だけがあるが、適用される商品が一部のものである。"
95,景表法,,RISK,うんざり,「疲れているように見える人」や「風邪をひいているように見える人」など、健康な方の範疇を超えているように見受けられるイラストとともに資料するのはNGです。,,80,
96,景表法,,RISK,運動量,レギンスなどの着用により身体機能の向上を訴求することはできません。着用による物理的効果によるもののみを訴求される場合は、合理的な根拠に基づいている事を確認して下さい。調査方法のみならず、調査対象者の選定に恣意性がないか、調査結果を適切に反映できているかという視点での確認が必要になるかと存じます。,,80,
97,景表法,,RISK,確実,効果効能の保証にあたるので使用不可。,サポート,80,
98,景表法,,RISK,感じました,たとえ「個人の感想です」という表記があっても、効果効能に関する感想は記載できません。使用方法、使用感、香りのイメージ等の範囲であり、かつ事実の範囲内で行う使用者の体験に基づく内容にとどめてください。,,80,"効能効果にあたらない範囲であれば可。NG例：「身体が動かしやすくなるのを／肌が綺麗になるのを感じました」というお声をいただいております　OK例：「居心地の良さ／使いやすさを感じました」との感想をいただいております"
99,景表法,,RISK,奇跡,奇跡という意味だと誇大表現になるので削除。,,80,
100,景表法,,RISK,高純度,誇大表現に当たる場合があります。優良誤認につながるため利用の際は十分ご注意ください。,,80,
101,景表法,,RISK,最小,誇大表現になる恐れがあるため避けることが望ましいです。,,80,
102,景表法,,代替案アリ,最適,最大級表現になるので避ける。広告商品を使用することが「最適である」といったり、それにつながるような表現は避けてください。,～使えます,80,"使用する際は誤認を与えないように具体的な内容の記載や根拠が必要。OK例：髪質に合わせた最適なスタイルを提案、周りを気にせずに過ごしたいときに最適な個室空間"
103,景表法,,RISK,しっかり,"強調表現であり、具体性がなくても誇張とみなされる場合があります。消費者に過剰な期待を抱かせないよう、他の文言と併用して適切な範囲内であるか確認してください。※「商品・施術による直接的な効果・効能に関する文脈かどうか」が判断基準。",丁寧に、真摯に,80,"商品・施術に関する強調表現は不可。環境や設備、一般的な内容に関しての言及は可。NG例：しっかりと汚れを落とす／ケアする／守る／作り上げる　OK例：しっかりと理解／納得いただけるように、しっかりとヒアリングし／説明し／向き合い※「しっかりと対応する」は、具体的な効果・効能の訴求と組み合わせた文脈では使用不可。NG例：身体の痛みにしっかりと対応する、脚痩せにしっかりと対応する　OK例：豊富なメニューを用意してしっかりと対応する、様々なお悩みにしっかりと対応する　※前後に具体的な効果訴求をしないこと"
104,景表法,,事実確認,実績,「〇〇の実績あり！」など実績を記載する場合は根拠や証拠等が必要です。,,80,
105,景表法,,事実確認,周年,事実であれば利用可能です。,,80,
106,景表法,,事実確認,数量限定,事実であれば利用可能です。,,80,
107,景表法,,事実確認,絶賛,事実確認が必要なワードです。実際にユーザーからの意見が存在するか確認してください。,,80,
108,景表法,,RISK,続出,優良誤認につながるため利用できません。,,80,
109,景表法,,RISK,とことん,強調表現であり、具体性がなくても誇張とみなされる場合があります。消費者に過剰な期待を抱かせないよう、他の文言と併用して適切な範囲内であるか確認してください。,,80,
