カテゴリ,業種名,景表法,薬機法,JCIA,医療広告ガイドライン,健康増進法,区分,適用ファイルリスト
サロン,美容院,○,○,○,×,×,化粧品,景表法.csv,薬機法.csv,JCIA.csv
サロン,美容室,○,○,○,×,×,化粧品,景表法.csv,薬機法.csv,JCIA.csv
サロン,理容室,○,○,○,×,×,化粧品,景表法.csv,薬機法.csv,JCIA.csv
サロン,床屋,○,○,○,×,×,化粧品,景表法.csv,薬機法.csv,JCIA.csv
サロン,ヘアサロン,○,○,○,×,×,化粧品,景表法.csv,薬機法.csv,JCIA.csv
サロン,ネイルサロン,○,○,○,×,×,化粧品,景表法.csv,薬機法.csv,JCIA.csv
サロン,マツエクサロン,○,○,○,×,×,化粧品,景表法.csv,薬機法.csv,JCIA.csv
サロン,エステサロン,○,○,○,×,×,化粧品,景表法.csv,薬機法.csv,JCIA.csv
ジム,フィットネスジム,○,×,×,×,×,選択なし,景表法.csv
ジム,ボクシングジム,○,×,×,×,×,選択なし,景表法.csv
ジム,キックボクシングジム,○,×,×,×,×,選択なし,景表法.csv
ジム,トレーニングジム,○,×,×,×,×,選択なし,景表法.csv
習い事,空手道場,○,×,×,×,×,選択なし,景表法.csv
習い事,音楽教室,○,×,×,×,×,選択なし,景表法.csv
習い事,書道教室,○,×,×,×,×,選択なし,景表法.csv
習い事,料理教室,○,×,×,×,×,選択なし,景表法.csv
習い事,習い事教室,○,×,×,×,×,選択なし,景表法.csv
習い事,塾,○,×,×,×,×,選択なし,景表法.csv
飲食店,居酒屋,○,×,×,×,×,選択なし,景表法.csv
飲食店,カフェ,○,×,×,×,×,選択なし,景表法.csv
飲食店,飲食店,○,×,×,×,×,選択なし,景表法.csv
整骨院,整骨院,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
整骨院,接骨院,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
整骨院,カイロプラクティック,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
病院,歯医者・歯科医院,○,×,×,○,×,医療全般,景表法.csv,医療広告ガイドライン.csv
病院,病院,○,×,×,○,×,医療全般,景表法.csv,医療広告ガイドライン.csv
病院,動物病院,○,×,×,○,×,医療全般,景表法.csv,医療広告ガイドライン.csv
ペット,ペットホテル,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
ペット,ペットショップ,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
ペット,ブリーダー,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
リラク,マッサージ店,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
リラク,足つぼ・リフレ,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
リラク,リラクゼーションサロン,○,○,×,×,×,選択なし,景表法.csv,薬機法.csv
福祉,保育園・幼稚園,○,×,×,×,×,選択なし,景表法.csv
福祉,高齢者向け介護施設,○,×,×,×,×,選択なし,景表法.csv
福祉,障がい者向け介護施設,○,×,×,×,×,選択なし,景表法.csv
寺社,寺社,○,×,×,×,×,選択なし,景表法.csv
寺社,葬儀社,○,×,×,×,×,選択なし,景表法.csv
寺社,仏具・仏壇販売,○,×,×,×,×,選択なし,景表法.csv
製造業,土木・造園・建設・運送・金型,○,×,×,×,×,選択なし,景表法.csv
製造業,リフォーム会社,○,×,×,×,×,選択なし,景表法.csv
製造業,タクシー会社,○,×,×,×,×,選択なし,景表法.csv
製造業,半導体製造,○,×,×,×,×,選択なし,景表法.csv
店舗,通販ショップ,○,※,※,×,※,販売する物によって設定,景表法.csv,販売物により追加
店舗,アパレル,○,×,×,×,×,選択なし,景表法.csv
店舗,物品販売店,○,※,※,×,※,販売する物によって設定,景表法.csv,販売物により追加
清掃業,リサイクル・遺品整理会社,○,×,×,×,×,選択なし,景表法.csv
清掃業,便利屋,○,×,×,×,×,選択なし,景表法.csv
清掃業,ハウスクリーニング会社,○,×,×,×,×,選択なし,景表法.csv
カウンセリング,心理カウンセリングルーム,○,×,×,×,×,選択なし,景表法.csv
カウンセリング,スピリチュアルカウンセリング,○,×,×,×,×,選択なし,景表法.csv
カウンセリング,占い,○,×,×,×,×,選択なし,景表法.csv
自動車,自動車修理会社,○,×,×,×,×,選択なし,景表法.csv
自動車,車検整備会社,○,×,×,×,×,選択なし,景表法.csv
自動車,自動車販売店,○,×,×,×,×,選択なし,景表法.csv
士業,行政書士,○,×,×,×,×,選択なし,景表法.csv
士業,司法書士,○,×,×,×,×,選択なし,景表法.csv
士業,社会保険労務士,○,×,×,×,×,選択なし,景表法.csv
士業,会計事務所,○,×,×,×,×,選択なし,景表法.csv
保険・不動産,探偵事務所,○,×,×,×,×,選択なし,景表法.csv
保険・不動産,セミナー,○,×,×,×,×,選択なし,景表法.csv
保険・不動産,不動産会社,○,×,×,×,×,選択なし,景表法.csv
保険・不動産,保険代理店,○,×,×,×,×,選択なし,景表法.csv
その他,婚活,○,×,×,×,×,選択なし,景表法.csv
その他,Web制作会社,○,×,×,×,×,選択なし,景表法.csv
その他,雀荘,○,×,×,×,×,選択なし,景表法.csv
その他,写真館・写真事務所,○,×,×,×,×,選択なし,景表法.csv
その他,コンサルティング会社,○,×,×,×,×,選択なし,景表法.csv
その他,人材派遣・人材紹介,○,×,×,×,×,選択なし,景表法.csv
その他,貸しスタジオ,○,×,×,×,×,選択なし,景表法.csv
