No.,カテゴリ,区分,判定,対象ワード,説明,代替案,危険度,補足説明・例文
1,JCIAガイドライン,,NG,一掃,"悩みや細菌、症状をゼロにすることはできないので、そのような文脈の場合は修正してください。効果効能の保証としてNGです。",,100,
2,JCIAガイドライン,,NG,医療用,医療的な表現は対象の製品が医療機器であるかのような誤認を与えるため、記載NGです。,,100,
3,JCIAガイドライン,,NG,"内側に／内側へ／内側まで／内部に／内部へ／内部まで／中に／中へ／中まで／奥に／奥へ／奥まで",「肌の奥深く」「肌の内側」といった表現は、たとえ注釈があったとしても、角質層の範囲を超えるとの印象を与えるためNGです。,,100,"化粧品や施術など、外からのアプローチで内側にまで効果を発揮するような表現は不可、食事管理など、実際に摂取するものでの訴求は可。NG例：肌の内側にアプローチ、身体の中まで浸透　OK例：健康的な食事で身体の内側まで整える、こまめな飲水で水分を身体の中に取り入れる"
4,JCIAガイドライン,,NG,薬,"医薬品・医薬部外品を指す言葉ですので、使用は十分注意してください。「〇〇薬」といった記載は、医薬品的な表現になりますので、記載NGです。",〇〇料,100,"NG例：回復薬"
5,JCIAガイドライン,,NG,抗菌,薬機法上、人体に対して訴求できない効果です。 薬機法の対象外となる健康食品や雑貨であっても、医薬品・医療機器的な訴求となるためNGとなります。,,100,
6,JCIAガイドライン,,NG,剤,"医薬品的な表現になりますので、記載NGです。",〇〇料,100,"OK例：（成分表において）「安定剤」などの記載※ヘアサロンで使用する下記表現も避ける方が安全。カラー剤、パーマ剤→ヘアカラー／カラー液／染毛料、パーマ液、ヘアケアアイテム／製品などに言い換える。"
7,JCIAガイドライン,,NG,歯石,"一般化粧品で謳える効果効能の５６項目の範囲ですが、使用はオーラルケア商品に限られ、「歯石の沈着を防ぐ」以外の効果効能も訴求できません。また、注釈が必要な表現になります。下記注釈が記載されているか確認してください。",,100,"OK例「歯石の沈着を防ぐ※ ※ブラッシングによる」"
8,JCIAガイドライン,,NG,女性専用／男性専用,"特定の性別を限定し、効能効果を暗示するためNGです。【参照】JCIAガイドライン2020年版P.30 E4 「○○専用、○○用」等の表現https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf",女性向け／男性向け,100,"設備に関する内容は可。OK例：女性専用サロン、女性・男性専用の個室"
9,JCIAガイドライン,,NG,芯から,"内部に作用する印象を与えるためNGです。「毛髪への浸透」表現は、角化した毛髪部分の範囲内で行うこと。【参照】JCIAガイドライン2020年版P.29 E3 「肌・毛髪への浸透」等の表現https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf",髪の内部へ浸透、髪の芯まで浸透,100,
10,JCIAガイドライン,,NG,診断,薬機法上、人体に対して訴求できない効果です。 薬機法の対象外となる健康食品や雑貨であっても、医薬品・医療機器的な訴求となるためNGとなります。,,100,
11,JCIAガイドライン,,NG,セラピスト,"医薬品的な表現になりますので、記載NGです。",,100,"NG例：セラピストも愛用"
12,JCIAガイドライン,,NG,専用,特定の年齢や職業、性別、症状に特化しているような記載はNGです。,〇〇の人もお使いいただける,100,"設備に関する内容は可。OK例：専用駐車場"
13,JCIAガイドライン,,NG,中医学,医療的な表現は対象の製品が医療機器であるかのような誤認を与えるため、記載NGです。,,100,
14,JCIAガイドライン,,NG,注射,"医療的な表現となりますので、控えていただいた方が安全です。",与える,100,"NG例：ヒアルロン酸注射"
15,JCIAガイドライン,,NG,特化,特定の年齢や職業、性別、症状に特化しているような記載はNGです。,〇〇の人もお使いいただける,100,"訴求対象や症状の特定は不可、取り扱いメニューの特徴や得意分野を幅広く示すものは可。NG例：50代の女性に特化、ニキビに特化　OK例：美容に特化した知識、エステメニューに特化して対応"
16,JCIAガイドライン,,NG,年齢肌,"特定の肌質向けの効果を暗示するためNGです。【参照】JCIAガイドライン2020年版P.30 E4 「○○専用、○○用」等の表現https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf",年齢肌向け,100,"NG例：年齢肌専用、年齢肌に効果的、年齢肌用のスキンケア※老化や若返りに関する「年齢」の使用は不可であるため、「年齢肌の悩みに対応」「年齢肌の改善をサポート」などもNG。（ヒットワード「年齢」参照。）"
17,JCIAガイドライン,,NG,副作用,医薬品的な表現になりますので、記載NGです。,,100,
18,JCIAガイドライン,,NG,防止,"「防ぐ」の類似表現として使用可能ですが、なるべく化粧品の56項目から逸脱しない方が安全です。",,100,"リスク例：肌荒れ防止成分 OK例：肌荒れを防ぐ成分"
19,JCIAガイドライン,,NG,メディカル,"医薬品的効果を暗示させるためNGです。",,100,"NG例：メディカル発想"
20,JCIAガイドライン,,NG,療法,医療と誤認させる恐れのある表現のためNGです。,,100,
21,JCIAガイドライン,,RISK,医師／科医／ドクター,医薬品等適正広告基準では、医師や国家資格を持つような権威のある人物や団体が使用・または推薦する表示を禁止しています。そのような文脈で使用していないか確認してください。,,90,
22,JCIAガイドライン,,RISK,抑える／抑えた,"「防ぐ」の類似表現ですが、「抑える」となるとすでにある症状を止める」といった解釈にもなりますので、化粧品の56項目の表現を使用した方が安全です。製品の使用感に関するものであれば使用可能です。",,90,"NG例：ニキビを抑制　OK例：こだわりの製法でベタつきを抑えます"
