No.,カテゴリ,区分,判定,対象ワード,説明,代替案,危険度,補足説明・例文
1,"JCIAガイドライン／医療広告ガイドライン",,NG,スーパー,"効能効果を強調する表現となるためNGです。チェック箇所の削除をお願いします。【参照】JCIAガイドライン2020年版P.31 E5 「強力」、「強い」の表現https://www.jcia.org/user/common/download/business/advertising/JCIA20200615_ADguide.pdf医療広告ガイドライン上、誇大表現・比較優良表現は認められません。削除してください。",,100,
2,"JCIAガイドライン／医療広告ガイドライン",,NG,年齢とともに／年齢を重ねるにつれ／年を重ねるにつれ,"薬機法上、老化に関する記述は不可となります。そのような訴求となっていないか確認してください。老化による悩みの訴求は不可となります。",40代の肌に合ったアプローチ、年齢に応じたメニュー,100,"NG例：年齢を重ねるにつれ増える悩みに"
3,"JCIAガイドライン／医療広告ガイドライン",,NG,若見え,薬機法上、若返りに関する記述は不可となります。,エイジングケア※   ※年齢に応じた化粧品等によるケア,100,
4,"JCIAガイドライン／医療広告ガイドライン",,NG,若々しい／若々しく,"化粧品５６項目の結果であれば訴求可能ですが、客観的なエビデンスが必要になるので確認をお願いします。薬機法上、若返りに関する記述は不可となります。",エイジンングケア※   ※年齢に応じた化粧品等によるケア,100,"OK例：化粧品の潤い効果での若々しい印象　NG例：あの頃の自分のように若々しくなろう！「肌が実際に若返る」というような物理的な変化を示す表現はNG"
5,医療広告ガイドライン,医療広告,NG,痛みが少ない／痛みが少なく／痛みを少なく,治療の痛みや不快感が少ないことを訴求することはできません。,,100,
6,医療広告ガイドライン,医療広告,NG,痛みを抑え／痛みを軽減／痛みを減らし／痛みを減らす,治療の痛みや不快感が少ないことを訴求することはできません。,,100,
7,医療広告ガイドライン,医療広告,NG,命に関わる,不必要に恐怖を煽る表現は認められません。,,100,
8,医療広告ガイドライン,医療広告,NG,違和感がない／違和感が無い／違和感ない／違和感無い／違和感が少ない,治療の痛みや不快感が少ないことを訴求することはできません。,,100,
9,医療広告ガイドライン,医療広告,NG,感動,医療広告ガイドライン上、誇大表現・比較優良表現は認められません。,,100,
10,医療広告ガイドライン,医療広告,NG,希少,医療広告ガイドライン上、誇大表現・比較優良表現は認められません。,,100,
11,医療広告ガイドライン,医療広告,NG,優れた／すぐれた／優れて／すぐれて／優れもの,医療広告ガイドライン上、誇大表現・比較優良表現は認められません。削除してください。,,100,
12,医療広告ガイドライン,医療広告,NG,素晴らしい,医療広告ガイドライン上、誇大表現・比較優良表現は認められません。,,100,
13,医療広告ガイドライン,医療広告,NG,贅沢,医療広告ガイドライン上、誇大表現・比較優良表現は認められません。,,100,
14,医療広告ガイドライン,医療広告,NG,治療できる,"言い切り表現になります。疾患が治ることを記載することはできません。文脈に応じて修正してください。",,100,"NG例：ガンも治療できる"
15,医療広告ガイドライン,医療広告,NG,徹底,医療広告ガイドライン上、誇大表現・比較優良表現は認められません。,,100,
16,医療広告ガイドライン,医療広告,NG,特別,医療広告ガイドライン上、誇大表現・比較優良表現は認められません。,,100,
17,医療広告ガイドライン,医療広告,NG,無痛,治療の痛みや不快感が少ないことを訴求することはできません。,,100,
18,医療広告ガイドライン,医療広告,NG,優良,医療広告ガイドライン上、誇大表現・比較優良表現は認められません。,,100,
19,医療広告ガイドライン,医療広告,RISK,一般,医療広告では最大級表現を用いた訴求は例え根拠があっても認められません。削除してください。,,90,
20,医療広告ガイドライン,医療広告,RISK,今までにない,"漠然と比較する場合であっても、ひぼう広告になる恐れがあるため注意が必要です。",,90,"NG例：「今までにない〇〇！」"
21,医療広告ガイドライン,医療広告,RISK,生まれ変わり／生まれ変わる,"薬機法上、若返りに関する記述は不可となります。「意識が生まれ変わる」といった文脈であれば記載可能です。",,90,"OK例：美意識を変えて生まれ変わろう"
22,医療広告ガイドライン,医療広告,RISK,驚き,著名人や国など、権威のある人物や団体が推薦する表現は例え事実であっても認められません。,,90,
23,医療広告ガイドライン,医療広告,RISK,必ず,"治療が成功することを保証するような文脈で使用していないか確認してください。",,90,"NG例：必ず成功します"
24,医療広告ガイドライン,医療広告,RISK,簡単／容易,"根拠なく安全性を訴求することはできません。事実確認をお願いします。",,90,"NG例：簡単に治るので安心"
25,医療広告ガイドライン,医療広告,RISK,個人の感想です,例え個人の感想であっても、医薬品的な訴求や製品の性能・機能から逸脱するような訴求はNGです。,,90,
26,医療広告ガイドライン,医療広告,RISK,使用,著名人や国など、権威のある人物や団体が推薦する表現は例え事実であっても認められません。,,90,"NG例：有名医師/芸能人が使用　OK例：髪/肌に優しいケア用品を使用"
27,医療広告ガイドライン,医療広告,RISK,心配,"根拠なく安全性を訴求することはできません。事実確認をお願いします。",,90,"NG例：失敗するリスクが心配な人も大丈夫　OK例：初めての利用で心配な方にも丁寧に説明、心配な気持ちを穏やかにできるような空間づくり"
28,医療広告ガイドライン,医療広告,RISK,すぐ,"根拠なく安全性を訴求することはできません。事実確認をお願いします。",,90,"NG例：「すぐに治るので安心。」"
29,医療広告ガイドライン,医療広告,RISK,通常,キャンペーンや割引、ポイント付与などのPRはNGですので、そのような記載の場合は削除してください。,,90,"NG例：通常よりも低価格で、通常の○倍のポイントを付与"
30,医療広告ガイドライン,医療広告,RISK,できる／できます,"言い切り表現になります。疾患が治ることを記載することはできません。文脈に応じて修正してください。効果効能の訴求でなければ可。",,90,"NG例：ガンも治療できる　OK例：お子様連れでも利用できる、事前にご予約ができます"
31,医療広告ガイドライン,医療広告,RISK,長生き,薬機法上、寿命に関わる訴求をすることはできないので、修正をお願いします。,,90,
32,医療広告ガイドライン,医療広告,RISK,認定,著名人や国など、権威のある人物や団体が推薦する表現は例え事実であっても認められません。,,90,
33,医療広告ガイドライン,医療広告,RISK,誇り,"施設の規模等について、他の医療機関よりも優良である旨を広告することを意味する訴求は、医療広告としては認められません。そのような記載をしている場合は削除してください。",,90,"NG例：「当院は県内有数の医師数を誇ります」"
34,医療広告ガイドライン,医療広告,RISK,無料,キャンペーンや割引、ポイント付与などのPRはNGですので、そのような記載の場合は削除してください。,,90,
35,医療広告ガイドライン,医療広告,RISK,リスク／危険,"根拠なく安全性を訴求することはできません。事実確認をお願いします。",,90,"NG例：比較的リスクが少ない手術です"
36,医療広告ガイドライン,医療広告,RISK,若さ,"アンチエイジング、若さを保つなど若返りを暗示するような表現はNGです。チェック箇所を確認してください。",,90,"NG例：若さを取り戻す"
37,"医療広告ガイドライン／JCIAガイドライン","医療広告／化粧品",RISK,ゼロ,"症状や悩みをゼロにすることはきませんので、そのような文脈で使用している場合はNGです。治療が成功することを保証するような文脈で使用していないか確認してください。",,90,"NG例：失敗する心配はゼロ"
38,"医療広告ガイドライン／JCIAガイドライン",医療広告,代替案アリ,代の／代は,"「若返り」を意味する表現は薬機法でNGになっています。文脈を確認してください。",憧れの肌に,90,"NG例：20代の頃のような、「20代は良かったな...」そんなあなたに！老化や若返りへの訴求が不可。NG例：20代の肌を目指す　OK例：40代の肌に合わせたケア"
39,"医療広告ガイドライン／JCIAガイドライン",医療広告,代替案アリ,年齢,"薬機法上、老化に関する記述は不可となります。そのような訴求となっていないか確認してください。",エイジンングケア※   ※年齢に応じた化粧品等によるケア,90,"NG例：年齢を重ねるにつれ増える悩みに老化や若返りへの訴求が不可。NG例：年齢を感じさせない肌に、年齢とともに増える悩み　OK例：年齢に合わせたケア、年齢を問わずに試せるメニュー"
40,"医療広告ガイドライン／JCIAガイドライン",医療広告,RISK,初めて,"医療広告では最大級表現を用いた訴求は例え根拠があっても認められません。化粧品広告において、製品や製造方法の優秀性を訴求する際の最大級表現はNGです。「私たちの最高技術を結集」、「今持ちうる最高の技術」などの自社の中で最高という表現は現状使用可能です（グレー）。",,90,"NG例：初めての技術　OK例：初めてご利用の方へ"
