No.,カテゴリ,区分,判定,対象ワード,説明,代替案,危険度,補足説明・例文
1,薬機法,,NG,アトピー,薬機法上訴求できない症状となりますので、NGです。,,100,
2,薬機法,,NG,アレルギー,薬機法上訴求できない症状となりますので、NGです。,,100,
3,薬機法,,NG,化膿,薬機法上訴求できない症状となりますので、NGです。,,100,
4,薬機法,,NG,かぶれ,薬機法上訴求できない症状となりますので、NGです。,,100,
5,薬機法,,NG,花粉症,薬機法上訴求できない症状となりますので、NGです。,,100,
6,薬機法,,NG,くびれ,"薬機法上訴求できない症状となりますので、NGです。※内臓の状態・症状に関する使用の規制。",,100,"NG例：膵臓の萎縮やくびれ、膵のくびれ　OK例：腰のくびれ、くびれたウエストライン"
7,薬機法,,NG,怪我,薬機法上訴求できない症状となりますので、NGです。,,100,
8,薬機法,,NG,毛玉,"薬機法上訴求できない症状となりますので、NGです。※犬や猫など、ペットの被毛に関する制限。",,100,"NG例：毛玉をできにくくする、毛玉ケア"
9,薬機法,,NG,倦怠感,薬機法上訴求できない症状となりますので、NGです。,,100,
10,薬機法,,代替案アリ,更年期障害,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,個人差はありますが、40歳くらいを境に訪れる身体のお悩み,100,
11,薬機法,,NG,色素沈着,薬機法上訴求できない症状となりますので、NGです。,,100,
12,薬機法,,NG,脂性肌,薬機法上訴求できない症状となりますので、NGです。,テカリが気になる、ギトギトしやすい,100,
13,薬機法,,NG,湿疹,薬機法上訴求できない症状となりますので、NGです。,,100,
14,薬機法,,NG,頭痛,病名や具体的な症状名の記載はNGです。 ,,100,
15,薬機法,,NG,生理痛,薬機法上訴求できない症状となりますので、NGです。,,100,
16,薬機法,,NG,セルライト,薬機法上訴求できない症状となりますので、NGです。,,100,
17,薬機法,,NG,ただれ,薬機法上訴求できない症状となりますので、NGです。,,100,
18,薬機法,,NG,だるさ,薬機法上訴求できない症状となりますので、NGです。,重さ,100,
19,薬機法,,NG,たるみ,薬機法上訴求できない症状となりますので、NGです。,もたつき、ハリを与える,100,
20,薬機法,,NG,糖化,薬機法上訴求できない症状となりますので、NGです。,,100,
21,薬機法,,NG,二重あご,薬機法上訴求できない症状となりますので、NGです。,,100,
22,薬機法,,NG,妊娠線,薬機法上訴求できない症状となりますので、NGです。,,100,
23,薬機法,,NG,発汗,薬機法上訴求できない症状となりますので、NGです。,,100,
24,薬機法,,NG,腫れ,薬機法上訴求できない症状となりますので、NGです。,,100,
25,薬機法,,NG,冷え,薬機法上訴求できない症状となりますので、NGです。,,100,
26,薬機法,,NG,冷え性,薬機法上訴求できない症状となりますので、NGです。,,100,
27,薬機法,,NG,皮脂分泌,薬機法上訴求できない症状となりますので、NGです。,,100,
28,薬機法,,NG,貧血,病名・症状、疾病の原因又は好ましくない意味の語句で修飾されている身体の構造・機能の表記は医薬品的な表記であると判断されます。,,100,
29,薬機法,,NG,不眠,薬機法上訴求できない症状となりますので、NGです。,,100,
30,薬機法,,NG,虫歯,病名・症状、疾病の原因又は好ましくない意味の語句で修飾されている身体の構造・機能の表記は医薬品的な表記であると判断されます。,,100,
31,薬機法,,NG,むくみ,薬機法上訴求できない症状となりますので、NGです。,,100,
32,薬機法,,NG,ゆらぎ肌／揺らぎ肌,薬機法上訴求できない症状となりますので、NGです。,,100,
33,薬機法,,NG,腰痛,薬機法上訴求できない症状となりますので、NGです。,,100,
34,薬機法,,RISK,鬱,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
35,薬機法,,RISK,風邪,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
36,薬機法,,RISK,癌,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
37,薬機法,,RISK,感染症,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
38,薬機法,,RISK,下痢,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
39,薬機法,,RISK,骨折,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
40,薬機法,,RISK,精神疾患,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
41,薬機法,,RISK,糖尿病,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
42,薬機法,,RISK,認知症,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
43,薬機法,,RISK,脳梗塞,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
44,薬機法,,RISK,脳卒中,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
45,薬機法,,RISK,不妊,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
46,薬機法,,RISK,閉経,薬機法では、体の機能を特定しての訴求はできません。また、症状名や生理作用などに対する効果効能の表現はＮＧとなります。,,90,
47,薬機法,,RISK,メタボ／メタボリックシンドローム,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
48,薬機法,,RISK,火傷,薬機法上、疾患や体の能力に対して訴求をすることはできません。「〇〇でお悩みの方へ」「〇〇、どうにかしたいですよね」といった表現も暗喩的に効果があると保証する形になりますので、文脈をよく確認してください。,,90,
49,薬機法,,RISK,AGA,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
50,薬機法,,RISK,ED,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
51,薬機法,,RISK,悪性リンパ腫,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
52,薬機法,健康食品,RISK,あせも,"具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。肌への訴求を想起させるため、健康食品では使用NGです。",,70,
53,薬機法,,RISK,インプラント,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
54,薬機法,,RISK,ウイルス,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
55,薬機法,,RISK,うつ病,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
56,薬機法,,RISK,膿,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
57,薬機法,,RISK,円形脱毛症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
58,薬機法,,RISK,外傷,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
59,薬機法,,RISK,外反母趾,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
60,薬機法,,RISK,顎関節症,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
61,薬機法,,RISK,過多月経,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
62,薬機法,,RISK,カルシウム,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
63,薬機法,,RISK,ガン／がん,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
64,薬機法,,RISK,眼精疲労,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
65,薬機法,,RISK,関節炎,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
66,薬機法,,RISK,陥入爪,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
67,薬機法,,RISK,肝斑,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
68,薬機法,,RISK,義歯,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
69,薬機法,,RISK,喫煙,具体的な症状・疾患になるので使用NG。成分や原材料、製造に関する解説で使用する場合は可。,,70,
